data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 21:13,Komfortowa kawalerka po remoncie blisko centrum,2150,https://www.otodom.pl/hpr/pl/oferta/komfortowa-kawalerka-po-remoncie-blisko-centrum-ID4A0DN,NIE,250,0,1,"ul. Kaszubska, Wrocław",brak,miejskie,2800,do zamieszkania,25,2026-02-10
2026-02-07 21:19,Do wynajęcia dwupokojowe mieszkanie przy ul. Partynickiej,2500,https://www.otodom.pl/hpr/pl/oferta/do-wynajecia-dwupokojowe-mieszkanie-przy-ul-partynickiej-ID4A0sh,NIE,580,1,2,"ul. Partynicka, Wrocław",brak,brak,3500,brak,40,2026-02-10
2026-02-07 21:33,Mieszkanie na wynajem | 3 -pokoje | ul. Hubska,3150,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-na-wynajem-3-pokoje-ul-hubska-ID4A0bQ,NIE,1000,3,3,"ul. Hubska, Wrocław",brak,miejskie,brak,do zamieszkania,56,2026-02-10
2026-02-07 21:40,Bilard & taras✩Centrum✩Drugi najem✩ENG,3099,https://www.otodom.pl/hpr/pl/oferta/bilard-tarascentrumdrugi-najemeng-ID4zZXo,NIE,599,2,2,"ul. Henryka Sienkiewicza, Wrocław",2024,miejskie,0,do zamieszkania,36.5,2026-02-10
2026-02-07 21:46,"Mieszkanie na wynajem, Wrocław, 2 pokoje",2600,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-na-wynajem-wroclaw-2-pokoje-ID4zZKw,NIE,700,1,2,"ul. Buska, Wrocław",brak,brak,3500,brak,55,2026-02-10
2026-02-07 21:53,Prestiżowy apartament w centrum Wrocławia,4000,https://www.otodom.pl/hpr/pl/oferta/prestizowy-apartament-w-centrum-wroclawia-ID4zZrl,NIE,1500,2,2,"ul. Bernardyńska, Wrocław",2025,miejskie,5000,do zamieszkania,49,2026-02-10
2026-02-07 21:57,"Wysoki standard 2 pokoje 46 m² | Home office, garderoba| Balkon| Długa",3200,https://www.otodom.pl/pl/oferta/wysoki-standard-2-pokoje-46-m-home-office-garderoba-balkon-dluga-ID4qRjj,NIE,500,0,2,"ul. Długa, Wrocław",2024,miejskie,4000,do zamieszkania,46,2026-02-10
2026-02-07 22:00,Wynajmę 2-pok. mieszkanie na Widawie | Drugi najem | Bez pośredników!,2900,https://www.otodom.pl/hpr/pl/oferta/wynajme-2-pok-mieszkanie-na-widawie-drugi-najem-bez-posrednikow-ID4zZnM,NIE,500,2,2,"ul. Sułowska, Wrocław",2000,gazowe,3400,do zamieszkania,40,2026-02-10
2026-02-07 22:06,2 pok | 54 m² | 1 piętro | budynek 2019 | parking | ul. Rychtalska,3300,https://www.otodom.pl/hpr/pl/oferta/2-pok-54-m-1-pietro-budynek-2019-parking-ul-rychtalska-ID4zZ7v,NIE,700,1,2,"ul. Rychtalska, Wrocław",2019,miejskie,4500,do zamieszkania,54,2026-02-10
2026-02-07 22:12,Pachnące nowością | klimatyzacja | garaż | balkon,3200,https://www.otodom.pl/hpr/pl/oferta/pachnace-nowoscia-klimatyzacja-garaz-balkon-ID4zYSD,NIE,800,4,2,"ul. Wichrowa, Wrocław",2024,miejskie,4200,do zamieszkania,37.18,2026-02-10
2026-02-07 22:18,"Stylowy apartament, Bulwar Staromiejski, FA Vat",2706,https://www.otodom.pl/hpr/pl/oferta/stylowy-apartament-bulwar-staromiejski-fa-vat-ID4zYza,NIE,650,0,1,"pl. Jana Pawła II, Wrocław",brak,gazowe,5000,do zamieszkania,3615,2026-02-10
2026-02-07 22:25,"2 pokojowe mieszkanie na wynajem, Ołtaszyn, 60 m2, 2 balkony, od zaraz",2400,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-wynajem-oltaszyn-60-m2-2-balkony-od-zaraz-ID4zY4l,NIE,700,2,2,"ul. Marcelego Nenckiego, Wrocław",brak,kotłownia,3250,do zamieszkania,60,2026-02-10
2026-02-07 22:25,ul. Księcia Witolda | 2 pokoje | garaż podziemny,2900,https://www.otodom.pl/hpr/pl/oferta/ul-ksiecia-witolda-2-pokoje-garaz-podziemny-ID4zdl3,NIE,820,6,2,"ul. Księcia Witolda, Wrocław",2020,miejskie,brak,do zamieszkania,40.57,2026-02-10
2026-02-07 22:26,2 osobne sypialnie-55m2-balkon-parking-Przystanek-Czartoryskiego-Psie,2700,https://www.otodom.pl/pl/oferta/2-osobne-sypialnie-55m2-balkon-parking-przystanek-czartoryskiego-psie-ID4zY3O,NIE,980,2,2,"ul. Adama Jerzego Czartoryskiego, Wrocław",2018,miejskie,3000,do zamieszkania,55,2026-02-10
2026-02-07 22:26,Wrocław Strzegomska Kawalerka Balkon Garaż Kwota Brutto Odlicz Vat !!,2500,https://www.otodom.pl/pl/oferta/wroclaw-strzegomska-kawalerka-balkon-garaz-kwota-brutto-odlicz-vat-ID4zLkr,NIE,500,4,1,"ul. Otyńska, Wrocław",2023,miejskie,3500,do zamieszkania,28.54,2026-02-10
2026-02-07 22:26,MIESZKANIE 2 POKOJE + KUCHNIA + BALKON,2400,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-kuchnia-balkon-ID4zY1k,NIE,400,2,2,"ul. Piękna, Wrocław",2011,miejskie,2000,do zamieszkania,52,2026-02-10
2026-02-07 22:26,Kawalerka do wynajęcia 29 m² Gaj Żegiestowska,2400,https://www.otodom.pl/pl/oferta/kawalerka-do-wynajecia-29-m-gaj-zegiestowska-ID4zY04,NIE,600,2,1,"ul. Żegiestowska, Wrocław",2023,brak,2600,do zamieszkania,29,2026-02-10
2026-02-07 22:26,Cisza i Spokój | 2 pokoje 55m2 | Taras 20 m2,3150,https://www.otodom.pl/pl/oferta/cisza-i-spokoj-2-pokoje-55m2-taras-20-m2-ID4zXYO,NIE,650,1,2,"ul. Arbuzowa, Wrocław",2020,brak,4000,do zamieszkania,55,2026-02-10
2026-02-07 22:27,Nowoczesne 2 pokoje w zacisznej okolicy – blisko komunikacji i sklepów,2900,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-w-zacisznej-okolicy-blisko-komunikacji-i-sklepow-ID4zXTm,NIE,0,2,2,"ul. Seweryna Udzieli, Wrocław",2001,miejskie,3000,do zamieszkania,51,2026-02-10
2026-02-07 22:27,"Dwupokojowe, nowe budownictwo 38mkw, balkon! 2800 całość",2100,https://www.otodom.pl/pl/oferta/dwupokojowe-nowe-budownictwo-38mkw-balkon-2800-calosc-ID4zXTr,NIE,550,5,5,"ul. Gorlicka, Wrocław",2005,miejskie,2300,do zamieszkania,38,2026-02-10
2026-02-07 22:27,Garaż-Nowe Centrum Południowe-Wysoki Standard-,6200,https://www.otodom.pl/pl/oferta/garaz-nowe-centrum-poludniowe-wysoki-standard-ID4zXWL,NIE,1000,5,4,"ul. Gwiaździsta, Wrocław",2019,miejskie,7000,do zamieszkania,78,2026-02-10
2026-02-07 22:27,Stylowy apartament ★ Zieleń wokół ★ 2mp,3800,https://www.otodom.pl/pl/oferta/stylowy-apartament-zielen-wokol-2mp-ID4zXW7,NIE,1220,1,4,"ul. Adama Jerzego Czartoryskiego, Wrocław",brak,kotłownia,0,brak,68,2026-02-10
2026-02-07 22:28,"Klimatyczne 2-pokojowe mieszkanie po remoncie – Nadodrze, ul. Jagie...",3500,https://www.otodom.pl/pl/oferta/klimatyczne-2-pokojowe-mieszkanie-po-remoncie-nadodrze-ul-jagie-ID4zXLC,NIE,0,2,2,"ul. Kazimierza Jagiellończyka, Wrocław",brak,gazowe,4000,do zamieszkania,56,2026-02-10
2026-02-07 22:28,"Zieleń,taras,miejsce parkingowe,klimatyzacja",6200,https://www.otodom.pl/pl/oferta/zielen-taras-miejsce-parkingowe-klimatyzacja-ID4zoex,NIE,800,2,4,"al. Śliwowa, Wrocław",2018,gazowe,12400,do zamieszkania,84.2,2026-02-10
2026-02-07 22:28,2 pokoje Balkon Garaż Klimatyzacja Krzyki,2850,https://www.otodom.pl/pl/oferta/2-pokoje-balkon-garaz-klimatyzacja-krzyki-ID4zXQG,NIE,700,3,2,Wrocław,2021,brak,0,do zamieszkania,54,2026-02-10
2026-02-07 22:29,Jasne 2 pokoje z tarasem | Apartamenty Dąbie,5800,https://www.otodom.pl/pl/oferta/jasne-2-pokoje-z-tarasem-apartamenty-dabie-ID4ofzq,NIE,1400,1,2,"ul. Rzeźbiarska, Wrocław",2012,miejskie,7500,do zamieszkania,75,2026-02-10
2026-02-07 22:29,Nowoczesna kawalerka Ślężna 128 bez prowizji,2450,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-slezna-128-bez-prowizji-ID4zDEP,NIE,400,5,1,"ul. Ślężna, Wrocław",2024,brak,3000,brak,24,2026-02-10
2026-02-07 22:29,Angel City- siłownia- miejsce postojowe- ochrona,3400,https://www.otodom.pl/pl/oferta/angel-city-silownia-miejsce-postojowe-ochrona-ID4zF4O,NIE,800,4,2,"ul. Walońska, Wrocław",brak,miejskie,brak,do zamieszkania,45.7,2026-02-10
2026-02-07 22:29,Pierwszy najem - centrum - Kurkowa - dwupoziomowe - wysokie 5m,4000,https://www.otodom.pl/pl/oferta/pierwszy-najem-centrum-kurkowa-dwupoziomowe-wysokie-5m-ID4zXIK,NIE,560,0,2,"ul. Kurkowa, Wrocław",2024,miejskie,5000,do zamieszkania,62.33,2026-02-10
2026-02-07 22:30,"Biskupin, wysoki standard, dwupokojowe, dwa balkony",2650,https://www.otodom.pl/pl/oferta/biskupin-wysoki-standard-dwupokojowe-dwa-balkony-ID4zXIz,NIE,800,3,2,"ul. Marcellego Bacciarellego, Wrocław",2002,miejskie,3000,do zamieszkania,50,2026-02-10
2026-02-07 22:30,nowe - Białowieska 45B/34 - bez prowizji,3499,https://www.otodom.pl/pl/oferta/nowe-bialowieska-45b-34-bez-prowizji-ID4zXHg,NIE,467,5,3,"ul. Popowicka, Wrocław",2025,miejskie,brak,do zamieszkania,49.07,2026-02-10
2026-02-07 22:30,REZERWACJA_Bezpośrednio_od marca_duża kawalerka z balkonem_komórka,2100,https://www.otodom.pl/pl/oferta/rezerwacja-bezposrednio-od-marca-duza-kawalerka-z-balkonem-komorka-ID4v0ez,NIE,330,1,2,"ul. Odrodzenia, Brzeg Dolny",2022,gazowe,3000,do zamieszkania,42,2026-02-10
2026-02-07 22:31,Wyremontowane  2-pokojowe mieszkanie we Wrocławiu,2600,https://www.otodom.pl/pl/oferta/wyremontowane-2-pokojowe-mieszkanie-we-wroclawiu-ID4zXE0,NIE,700,5,2,"ul. Stalowa, Wrocław",1967,miejskie,5000,do zamieszkania,40,2026-02-10
2026-02-07 22:31,Mieszkanie 3pok 54m2 +oddzielna kuchnia,3500,https://www.otodom.pl/pl/oferta/mieszkanie-3pok-54m2-oddzielna-kuchnia-ID4sHOZ,NIE,950,8,3,"ul. Na Ostatnim Groszu, Wrocław",brak,miejskie,5000,do zamieszkania,54,2026-02-10
2026-02-07 22:31,klima - balkon - bulw. Dedala,3700,https://www.otodom.pl/hpr/pl/oferta/klima-balkon-bulw-dedala-ID4sgBE,NIE,1000,2,3,Wrocław,2014,miejskie,4700,do zamieszkania,70,2026-02-10
2026-02-07 22:32,Wietrzna/2pok/wyposażenie/balkon/od zaraz,2500,https://www.otodom.pl/pl/oferta/wietrzna-2pok-wyposazenie-balkon-od-zaraz-ID4zRqC,NIE,700,2,2,Wrocław,2000,miejskie,brak,do zamieszkania,40,2026-02-10
2026-02-07 22:32,Ogródek| parking| klimatyzacja,3000,https://www.otodom.pl/pl/oferta/ogrodek-parking-klimatyzacja-ID4zRvQ,NIE,700,0,2,"ul. Rybnicka, Wrocław",brak,brak,0,do zamieszkania,47,2026-02-10
2026-02-07 22:32,"Mieszkanie, 48 m², Wrocław",2700,https://www.otodom.pl/pl/oferta/mieszkanie-48-m-wroclaw-ID4zXCt,NIE,0,8,3,Wrocław,brak,brak,brak,do zamieszkania,48,2026-02-10
2026-02-07 22:32,BOREK 42m2 BEZPOŚREDNIO wysoki standard,3200,https://www.otodom.pl/pl/oferta/borek-42m2-bezposrednio-wysoki-standard-ID4k20N,NIE,500,2,2,"ul. Jastrzębia, Wrocław",1910,miejskie,6000,do zamieszkania,42,2026-02-10
2026-02-07 22:32,"Mieszkanie, 60 m², Wrocław",6500,https://www.otodom.pl/pl/oferta/mieszkanie-60-m-wroclaw-ID4zwis,NIE,1000,2,3,"ul. Księcia Witolda, Wrocław",2019,miejskie,7500,do zamieszkania,60,2026-02-10
2026-02-07 22:33,Cztery komfortowe pokoje na Partynicach! Parking!,3500,https://www.otodom.pl/pl/oferta/cztery-komfortowe-pokoje-na-partynicach-parking-ID4wdvF,NIE,0,3,4,Wrocław,2005,brak,0,do zamieszkania,70,2026-02-10
2026-02-07 22:33,Dwa Pokoje mieszkanie/Legnicka/Braniborska/centrum,3150,https://www.otodom.pl/pl/oferta/dwa-pokoje-mieszkanie-legnicka-braniborska-centrum-ID4o0cU,NIE,550,8,2,"ul. Braniborska, Wrocław",2022,miejskie,4000,do zamieszkania,40,2026-02-10
2026-02-07 22:33,Cztery pokoje w Ogrodach Hallera,11000,https://www.otodom.pl/pl/oferta/cztery-pokoje-w-ogrodach-hallera-ID4zXyl,NIE,2000,0,4,"al. gen. Józefa Hallera, Wrocław",2012,brak,brak,brak,118,2026-02-10
2026-02-07 22:33,Stylowe 2-pokojowe mieszkanie + garaż + box | Jesionowa / Tarnogaj,3250,https://www.otodom.pl/pl/oferta/stylowe-2-pokojowe-mieszkanie-garaz-box-jesionowa-tarnogaj-ID4zXyf,NIE,800,6,2,"ul. Jesionowa, Wrocław",2017,miejskie,3250,do zamieszkania,47,2026-02-10
2026-02-07 22:34,okolice ul. Murowanej NOWE2022/BALKON/OD ZARAZ!,2550,https://www.otodom.pl/pl/oferta/okolice-ul-murowanej-nowe2022-balkon-od-zaraz-ID4zXwz,NIE,0,2,2,Wrocław,2022,miejskie,2550,do zamieszkania,38.5,2026-02-10
2026-02-07 22:34,Do wynajecia mieszkanie 2 pokojowe na Plantach RacławickichWrocław,3600,https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-2-pokojowe-na-plantach-raclawickichwroclaw-ID4zajr,NIE,750,4,2,"ul. Racławicka, Wrocław",2025,miejskie,6000,do zamieszkania,49,2026-02-10
2026-02-07 22:34,Pierwszy najem | Super lokalizacja | Kępa M.,2600,https://www.otodom.pl/pl/oferta/pierwszy-najem-super-lokalizacja-kepa-m-ID4zXxa,NIE,700,1,2,"wyspa Kępa Mieszczańska, Wrocław",2019,miejskie,4000,do zamieszkania,34.49,2026-02-10
