data_pobrania,tytul,cena,metraz,link,czynsz,pietro,rok_budowy,ogrzewanie,kaucja,pokoje,stan,lokalizacja,powierzchnia,data_aktualizacji
2026-02-08 08:37,2 pokoje + klima + garaż + widok - Legnicka 9 piętro | bez pośrednika,3250,41.0,https://www.otodom.pl/pl/oferta/2-pokoje-klima-garaz-widok-legnicka-9-pietro-bez-posrednika-ID4zIXj,NOWE,,,,,,['2'],,,41,2026-02-09
2026-02-08 08:37,Wysoki standard-Garaż-Klimatyzacja-2Balkony,3100,63.5,https://www.otodom.pl/pl/oferta/wysoki-standard-garaz-klimatyzacja-2balkony-ID4zRb3,NOWE,,,,,,['3'],,,63.5,2026-02-09
2026-02-08 08:37,"Apartament 55 m² w centrum Wrocławia | Balkon, parking, klimatyzacja",3600,55.0,https://www.otodom.pl/pl/oferta/apartament-55-m-w-centrum-wroclawia-balkon-parking-klimatyzacja-ID42mOj,NOWE,,,,,,['2'],,,55,2026-02-09
2026-02-08 08:37,Nowoczesne 70 m² po remoncie | 1. piętro | Nowe AGD,3750,70.0,https://www.otodom.pl/pl/oferta/nowoczesne-70-m-po-remoncie-1-pietro-nowe-agd-ID4A0Fv,NOWE,,,,,,['3'],,,70,2026-02-09
2026-02-08 08:37,Świetny stan mieszkania w świetnej lokalizacji,2950,19.4,https://www.otodom.pl/pl/oferta/swietny-stan-mieszkania-w-swietnej-lokalizacji-ID4zSdm,NOWE,,,,,,['1'],,,19.4,2026-02-09
2026-02-08 08:42,"Mieszkanie 3 pokojowe dla 2/3/4 studentów, Ołbin, Śródmieście",2200,60.0,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-3-pokojowe-dla-2-3-4-studentow-olbin-srodmiescie-ID2tLOM,NOWE,,,,,,['3'],,,60,2026-02-09
2026-02-08 08:44,3-pokoje - Braniborska 60/10 - bez prowizji,3656,46.38,https://www.otodom.pl/pl/oferta/3-pokoje-braniborska-60-10-bez-prowizji-ID4zZwH,NOWE,,,,,,['3'],,,46.38,2026-02-09
2026-02-08 08:48,"WROCŁAW CENTRUM, OVO, PODWALE, 2 ROOMS, Rent PLN 3,000, fees PLN 1,200",3000,43.0,https://www.otodom.pl/hpr/pl/oferta/wroclaw-centrum-ovo-podwale-2-rooms-rent-pln-3-000-fees-pln-1-200-ID4zByC,NOWE,,,,,,['2'],,,43,2026-02-09
2026-02-08 08:37,2 pokoje + klima + garaż + widok - Legnicka 9 piętro | bez pośrednika,3250,41.0,https://www.otodom.pl/pl/oferta/2-pokoje-klima-garaz-widok-legnicka-9-pietro-bez-posrednika-ID4zIXj,NOWE,,,,,,['2'],,,41,2026-02-09
2026-02-08 08:37,Wysoki standard-Garaż-Klimatyzacja-2Balkony,3100,63.5,https://www.otodom.pl/pl/oferta/wysoki-standard-garaz-klimatyzacja-2balkony-ID4zRb3,NOWE,,,,,,['3'],,,63.5,2026-02-09
2026-02-08 08:37,"Apartament 55 m² w centrum Wrocławia | Balkon, parking, klimatyzacja",3600,55.0,https://www.otodom.pl/pl/oferta/apartament-55-m-w-centrum-wroclawia-balkon-parking-klimatyzacja-ID42mOj,NOWE,,,,,,['2'],,,55,2026-02-09
2026-02-08 08:37,Nowoczesne 70 m² po remoncie | 1. piętro | Nowe AGD,3750,70.0,https://www.otodom.pl/pl/oferta/nowoczesne-70-m-po-remoncie-1-pietro-nowe-agd-ID4A0Fv,NOWE,,,,,,['3'],,,70,2026-02-09
2026-02-08 08:37,Świetny stan mieszkania w świetnej lokalizacji,2950,19.4,https://www.otodom.pl/pl/oferta/swietny-stan-mieszkania-w-swietnej-lokalizacji-ID4zSdm,NOWE,,,,,,['1'],,,19.4,2026-02-09
2026-02-08 08:42,"Mieszkanie 3 pokojowe dla 2/3/4 studentów, Ołbin, Śródmieście",2200,60.0,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-3-pokojowe-dla-2-3-4-studentow-olbin-srodmiescie-ID2tLOM,NOWE,,,,,,['3'],,,60,2026-02-09
2026-02-08 08:44,3-pokoje - Braniborska 60/10 - bez prowizji,3656,46.38,https://www.otodom.pl/pl/oferta/3-pokoje-braniborska-60-10-bez-prowizji-ID4zZwH,NOWE,,,,,,['3'],,,46.38,2026-02-09
