data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-08 08:36,Idealne pod biuro | Garaż | Wojnów !,3100,https://www.otodom.pl/pl/oferta/idealne-pod-biuro-garaz-wojnow-ID4zW6H,TAK,300,0,1,"ul. Perkusyjna, Wrocław",2011,brak,brak,brak,65.41,2026-02-14
2026-02-08 08:36,"Kawalerka z balkonem i siłownią, ul. Braniborska",2500,https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-i-silownia-ul-braniborska-ID4sLK1,NIE,700,4,1,"ul. Braniborska, Wrocław",2023,miejskie,5000,brak,36.3,2026-02-14
2026-02-14 08:37,"Plac Grunwaldzki, osobna sypialnia, balkon, mp",2800,https://www.otodom.pl/pl/oferta/plac-grunwaldzki-osobna-sypialnia-balkon-mp-ID4yl70,TAK,633,2,2,"ul. Gdańska, Wrocław",2021,miejskie,5000,brak,38.28,2026-02-14
2026-02-14 08:46,2 pokojowe mieszkanie Wroclaw Krzyki,2800,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-wroclaw-krzyki-ID4A76t,NIE,1023,4,2,"ul. Piławska, Wrocław",2009,miejskie,4000,brak,53,2026-02-14
2026-02-14 08:48,Nowe 2 pokoje 48m2/Ogródek/Garaż + 2 miejsca/Komórka/Pierwszy najem,3200,https://www.otodom.pl/pl/oferta/nowe-2-pokoje-48m2-ogrodek-garaz-2-miejsca-komorka-pierwszy-najem-ID4A74y,NIE,495,0,2,"ul. Blizanowicka, Wrocław",2025,miejskie,4800,brak,48,2026-02-14
2026-02-14 08:52,Nowe mieszkanie w Centrum,3500,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-centrum-ID4A71G,TAK,0,4,2,"Aleja Kardynała Stefana Wyszyńskiego, Wrocław",2022,brak,0,brak,48.93,2026-02-14
2026-02-14 08:56,2 pokojowe | Balkon | Internet w cenie | Komórka| Promenady,3150,https://www.otodom.pl/pl/oferta/2-pokojowe-balkon-internet-w-cenie-komorka-promenady-ID4A71i,TAK,550,2,2,"ul. Zakładowa, Wrocław",brak,miejskie,3500,brak,40,2026-02-14
2026-02-14 09:02,"3 pokoje z garderobą i balkonem | 53,5 m²",2600,https://www.otodom.pl/pl/oferta/3-pokoje-z-garderoba-i-balkonem-53-5-m-ID4A6Z4,TAK,700,3,3,Wrocław,2019,miejskie,2800,brak,53.48,2026-02-14
2026-02-14 09:03,Miedziana 72  Nowy Grabiszyn,2800,https://www.otodom.pl/pl/oferta/miedziana-72-nowy-grabiszyn-ID4A6XZ,TAK,600,0,2,"ul. Miedziana, Wrocław",2024,miejskie,2800,brak,37,2026-02-14
2026-02-14 09:05,Luksusowe mieszkanie w stylowej kamienicy przy Rynku; Premium standard,4400,https://www.otodom.pl/pl/oferta/luksusowe-mieszkanie-w-stylowej-kamienicy-przy-rynku-premium-standard-ID4yxOO,NIE,0,3,3,"ul. Psie Budy, Wrocław",1961,miejskie,brak,brak,65,2026-02-14
